name,id,demand class,base price,export value,price variability,utility,origin,tags,stack size,cargo space,icon,sound id,sound id drop,order,economyTier,econUnitOrigUnused,econUnit,baseRaidDanger,eU * base value,iconWidthMult,plugin,desc
Suministros,supplies,supplies,100,250,3,1,,"military, expensive",1000,1,graphics/icons/cargo/supplies.png,ui_cargo_supplies,ui_cargo_supplies_drop,0.5,2.1,200,750,,75000,1,,
Combustible,fuel,fuel,25,750,3,1,,military,1000,0,graphics/icons/cargo/fuel.png,ui_cargo_fuel,ui_cargo_fuel_drop,0.75,2,500,1500,,37500,0.6,,
Tripulacion,crew,crew,50,0,3,1,,"crew, personnel",1000,0,graphics/icons/cargo/crew02.png,ui_cargo_crew,ui_cargo_crew_drop,0.8,3.1,200,500,,25000,0.6,,
Infantes de marina,marines,marines,200,0,3,1,,"marines, military, personnel",1000,0,graphics/icons/cargo/marine.png,ui_cargo_marines,ui_cargo_marines_drop,0.9,3.4,200,100,,20000,0.6,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Comida,food,food,20,1000,3,1,,food,1000,1,graphics/icons/cargo/food.png,ui_cargo_food,ui_cargo_food_drop,13,1,500,2000,,40000,1,,
Organicos,organics,organics,30,500,3,1,,,1000,1,graphics/icons/cargo/organics.png,ui_cargo_organics,ui_cargo_organics_drop,12,0,500,1500,,45000,1,,
Volatiles,volatiles,volatiles,250,5000,3,1,,expensive,1000,1,graphics/icons/cargo/volatilesB.png,ui_cargo_volatiles,ui_cargo_volatiles_drop,11,1.2,100,200,,50000,1,,
Mineral,ore,ore,10,1500,3,1,,,1000,1,graphics/icons/cargo/ore.png,ui_cargo_ore,ui_cargo_ore_drop,10,0.2,500,5000,,50000,1,,
Mineral transplutonico,rare_ore,rare_ore,75,2000,3,1,,expensive,1000,1,graphics/icons/cargo/rareore.png,ui_cargo_rareore,ui_cargo_rareore_drop,9,0.3,200,500,,37500,1,,
Metales,metals,metals,30,3000,3,1,,,1000,1,graphics/icons/cargo/materials.png,ui_cargo_metals,ui_cargo_metals_drop,8,1.1,500,2000,,60000,1,,
Transplutonicos,rare_metals,rare_metals,200,6000,3,1,,expensive,1000,1,graphics/icons/cargo/raremetals.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,7,1.2,100,200,,40000,1,,
Maquinaria pesada,heavy_machinery,heavy_machinery,150,500,3,1,,expensive,1000,1,graphics/icons/cargo/heavymachinery.png,ui_cargo_machinery,ui_cargo_machinery_drop,0.95,2.2,100,300,,45000,1,,
Bienes domesticos,domestic_goods,domestic_goods,50,300,3,1,,,1000,1,graphics/icons/cargo/goods.png,ui_cargo_goods,ui_cargo_goods_drop,5,2.3,200,1000,,50000,1,,
,,,,,,,,,,,,,,,,,,,,,,
Organos recolectados,organs,organs,300,2000,3,1,,"medical, expensive",1000,1,graphics/icons/cargo/organs.png,ui_cargo_organs,ui_cargo_organs_drop,4,2.4,200,200,HIGH,60000,0.7,,
Drogas recreativas,drugs,drugs,200,1500,3,1,,expensive,1000,1,graphics/icons/cargo/recdrugs.png,ui_cargo_drugs,ui_cargo_drugs_drop,3,2.5,200,400,HIGH,80000,0.75,,
Armamento pesado,hand_weapons,hand_weapons,500,500,3,1,,military,1000,1,graphics/icons/cargo/heavyweapons.png,ui_cargo_handweapons,ui_cargo_handweapons_drop,2,2.6,100,200,HIGH,100000,1,,
Bienes de lujo,luxury_goods,luxury_goods,100,500,3,1,,"luxury, expensive",1000,1,graphics/icons/cargo/luxurygoods.png,ui_cargo_luxury,ui_cargo_luxury_drop,1,2.7,200,500,,50000,1,,
Langosta volturniana,lobster,luxury_goods,,,,1,volturn,"exotic, luxury, expensive, codex_unlockable",1000,1,graphics/icons/cargo/lobster.png,ui_cargo_volturn_lobster,ui_cargo_volturn_lobster_drop,1.1,2.8,200,500,,,1,,
,,,,,,,,,,,,,,,,,,,,,,
Cascos y armas de naves,ships,ships,100,300,3,1,,meta,1000,1,graphics/ships/hound/hound_base.png,,,10,4,200,200,,,1,,
,,,,,,,,,,,,,,,,,,,,,,
Nucleos de IA,ai_cores,ai_cores,1000,,0,1,,"nonecon, ai_core, hide_in_codex",1000,1,graphics/icons/cargo/ai_core_gamma.png,ai_core_pickup,ui_fighter_drop,30,,,,,,1,,
Nucleo Alfa,alpha_core,ai_cores,,,0,150,,"nonecon, ai_core, no_loss_from_combat, codex_unlockable",1000,1,graphics/icons/cargo/ai_core_alpha.png,ai_core_pickup,ui_alpha_core_drop,40,,,,HIGH,,1,,
Nucleo Beta,beta_core,ai_cores,,,0,30,,"nonecon, ai_core, no_loss_from_combat, codex_unlockable",1000,1,graphics/icons/cargo/ai_core_beta.png,ai_core_pickup,ui_beta_core_drop,39,,,,MEDIUM,,1,,
Nucleo Gamma,gamma_core,ai_cores,,,0,10,,"nonecon, ai_core, no_loss_from_combat, codex_unlockable",1000,1,graphics/icons/cargo/ai_core_gamma.png,ai_core_pickup,ui_gamma_core_drop,38,,,,MEDIUM,,1,,
Nucleo Omega,omega_core,ai_cores,,,0,1000,,"nonecon, ai_core, no_loss_from_combat, no_drop, hide_in_codex",1000,,graphics/icons/cargo/ai_omega_core.png,ai_core_pickup,ui_gamma_core_drop,41,,,,EXTREME,,1,,
,,,,,,,,,,,,,,,,,,,,,,
Datos de prospeccion,survey_data,survey_data,1000,,0,1,,"nonecon, hide_in_codex",1000,1,graphics/icons/cargo/survey_data.png,ui_chip_pickup,ui_modspec_drop,50,,,,,,1,,
Datos de prospeccion de clase I,survey_data_1,survey_data,,,0,1,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data1.png,ui_chip_pickup,ui_modspec_drop,45,,,,,,1,,
Datos de prospeccion de clase II,survey_data_2,survey_data,,,0,3,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data2.png,ui_chip_pickup,ui_modspec_drop,46,,,,,,1,,
Datos de prospeccion de clase III,survey_data_3,survey_data,,,0,5,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data3.png,ui_chip_pickup,ui_modspec_drop,47,,,,,,1,,
Datos de prospeccion de clase IV,survey_data_4,survey_data,,,0,10,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data4.png,ui_chip_pickup,ui_modspec_drop,48,,,,,,1,,
Datos de prospeccion de clase V,survey_data_5,survey_data,,,0,30,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data5.png,ui_chip_pickup,ui_modspec_drop,49,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,
Planos,blueprints,blueprints,1000,,0,1,,"nonecon, meta, hide_in_codex",1000,1,graphics/icons/cargo/blueprintschip.png,ui_chip_pickup,ui_modspec_drop,80,,,,EXTREME,,1,,
Equipamiento naval,ship_weapons,ship_weapons,1000,,0,1,,"nonecon, meta, hide_in_codex",1000,,graphics/icons/cargo/starship_weapons.png,ui_chip_pickup,ui_modspec_drop,34,,,,HIGH,,1,,
Creditos,credits,ship_weapons,1,,0,1,,"nonecon, meta, hide_in_codex",1000,,graphics/icons/cargo/credit_chips.png,ui_chip_pickup,ui_modspec_drop,100,,,,HIGH,,1,,
