name,id,tags,planetary,decivRemove,script,desc,icon,order
Sociedad urbanizada,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"Un centro de poblacion denso y cosmopolita: gente de toda condicion vive, trabaja y muere en los complejos habitacionales apilados, las galerias comerciales y los talleres modulares.",graphics/icons/markets/urbanized_polity.png,130
Sociedad industrial,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Un centro industrial bullicioso. Las politicas del gobierno local fomentan una industria prospera, a costa de cualquier otra consideracion.",graphics/icons/markets/urbanized_polity.png,130
Sociedad rural,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"Una sociedad escasamente poblada de granjas y municipios insulares. En estos tiempos convulsos, los forasteros suelen ser tratados con recelo.",graphics/icons/markets/rural_polity.png,130
Gran poblacion de refugiados,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Refugiados desesperados, huidos de algun desastre, han acabado aqui. Viven en el escalon mas bajo de la sociedad, con pocas oportunidades de progresar, y su situacion semilegal y tensa somete a presion la infraestructura domestica. La produccion general se reduce. Es mas probable encontrar tripulantes entre quienes intentan escapar de estas condiciones de vida miserables.",graphics/icons/markets/refugee_population.png,140
Criaderos de langosta volturniana,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Una mezcla de varias especies de la Vieja Tierra y un poco de imaginacion dio lugar a esta criatura, que crece de forma silvestre en las profundidades aplastantes del fondo marino de Volturn. Se dice que su sabor es excepcional.",graphics/icons/markets/lobster_pens.png,137
Demanda de vicio,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,La demanda de bienes de vicio es inusualmente alta aqui.,graphics/icons/markets/vice_demand.png,145
Crimen organizado,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,La actividad delictiva produce drogas y organos recolectados. Aumenta la demanda de armas de mano (tanto por parte de diversos jefes criminales como de la ciudadania local) y de infantes de marina (por parte de las autoridades locales).,graphics/icons/markets/organized_crime.png,148
Frontera,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Lejos de los centros de poblacion cosmopolitas, la mera supervivencia, la autosuficiencia y quedarse solo con lo imprescindible son las reglas de la frontera. Aumenta la demanda de armas y suministros, y se reduce la de bienes de lujo.",graphics/icons/markets/frontier.png,130
Centro de desguace naval,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"Un importante centro de desguace naval en esta region del Sector: las armadas de las facciones principales, junto con muchos otros clientes de los mundos centrales del Sector, envian aqui sus cascos para el desguace.",graphics/icons/markets/shipbreaking.png,360
Centro comercial,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Un importante centro comercial: naves mercantes de todo el Sector atracan aqui esperando encontrar comprador para sus mercancias, y algo que comprar a cambio con un buen margen de beneficio.",graphics/icons/markets/trade_center.png,280
