name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Mod de casco base,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Una coleccion de notas, directrices y ejemplos practicos que permiten adaptar y aplicar esta modificacion a diversos cascos.",50
,,,,,,,,,,,,,,,
# objetos para ranuras industriales,,,,,,,,,,,,,,,
Nanoforja corrupta,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Restringido por el Dominio,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Una ""caja negra"" de fabricacion poderosa y versatil, capaz de expandirse a escala industrial si dispone de las materias primas y la asistencia humana necesarias.

Esta ha visto dias mejores y es incapaz de producir componentes sin defectos de forma fiable. No obstante, tener acceso a una nanoforja ya es un avance en lo que respecta a la construccion de naves estelares.",139
Nanoforja intacta,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Restringido por el Dominio,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Una ""caja negra"" de fabricacion potente y versatil, capaz de expandirse hasta una escala industrial si dispone de las materias primas y la asistencia humana necesarias.

Esta esta como nueva, al menos segun sus diagnosticos de a bordo. En la practica, obtener componentes de naves estelares sin defectos sigue siendo un reto dado el estado general de la fabricacion en el Sector, pero esta nanoforja es lo mejor que se puede encontrar.",139.1
Nucleo de sincrotron,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Restringido por el Dominio,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Una nanoforja especializada, cargada con firmware y nanotecnologia semilla para expandirse y convertirse en un Sincrotron que permite la produccion de antimateria a escala industrial.",139.2
Lampara de fusion orbital,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrica orbital,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Un reactor de fusion miniaturizado y de potencia variable capaz de proporcionar abundante luz y calor a un planeta.

Su funcionamiento seguro requiere cantidades prodigiosas de volatiles. Si no se satisface la demanda, el reactor sufre una inestabilidad potencialmente peligrosa que puede provocar un aumento incontrolado de la potencia. Los litigios sobre si este dispositivo posee un diseno inherentemente inseguro o si simplemente se utiliza de forma insegura estaban en curso en los tribunales del Dominio en el momento del Colapso.",135
Extractor de hiperderivacion coronal,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Restringido por el Dominio,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Una interfaz de agujero de gusano miniaturizada que puede activarse para conectar con una hiperderivacion coronal cercana, proporcionando a una colonia energia virtualmente ilimitada.

Su funcionamiento requiere cantidades industriales de elementos transplutonicos, que se utilizan al principio para abrir el agujero de gusano y que, una vez que la potencia extraida es autosostenible, se consumen en un complicado proceso ablativo que mantiene la estabilidad del agujero de gusano. Cualquier interrupcion en el suministro requiere el cierre total del extractor.",137
Taladro de manto autonomo,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Terraformacion Eridani-Utopia,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Aunque se cree que no quedan unidades de anulacion de control funcionales en el Sector, el propio bore es capaz de operar de forma independiente, aunque a veces impredecible. Sus sistemas de seguridad en modo automatico impiden su uso en mundos habitables.",140
Nucleo catalitico,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,Mejora notablemente la eficacia de las operaciones de refinado gracias a una sorprendente peculiaridad de la fisica de la osmosis. Su funcionamiento requiere acceso al vacio a una escala dificil de lograr en planetas con una presion atmosferica significativa.,145
