id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Timonel,10,1,0,,"Canta cuando ajustas la mezcla de forma perfecta, como un [tarareo]. Todo en el mundo esta bien, desde las estrellas hasta tus propios huesos. Al terminar el turno, es como si acabara de despertar. [riendo] No hay palabras para describirlo.","Proyecto de entrevistas de Nachiketa Portside, Ep. 3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Resistencia en combate,20,1,0,,"A traves de la calamidad, la Decimocuarta resistio. 
A traves de la hegemonia, el Dominio resiste. 
A traves del deber, la humanidad resistira.","Almirante Kali Molina, la Declaracion de la Hegemonia, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Mitigacion de impactos,30,2,0,,"La maniobra produjo un angulo de impacto oblicuo, disipando el impulso del proyectil en el revestimiento de ferroespuma. Fue la desafortunada sincronizacion de la onda de choque resultante lo que provoco el tragico fin del espacial York durante una transferencia de equipo pesado que, de otro modo, habria sido rutinaria.","Escaramuza de Thule de c120.03.08, informe tras la accion enviado por la navarca Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Control de danos,40,2,0,,"Lo que se ha perdido, se ha perdido. Dejad que esos compartimentos se consuman; centrad vuestros esfuerzos en lo que nos permitira sobrevivir la proxima hora.","Navarca Tethys, discurso final a la tripulacion de la PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Modulacion de campo,50,2,0,,"Pocos tienen talento para lo que me gusta llamar ""sintonizacion activa"". Creo que los musicos son los mejores oficiales de campo.","Ardis Soloman, datos filtrados enviados al algoritmo de censura de COMSEC",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Defensa de punto,60,3,0,,"Yo, personalmente, no uso laseres ni nada de eso. Montan un espectaculo de luces de mil demonios, eso seguro, pero nada detiene los contactos entrantes como la cortina de DP de una buena matriz Vulcan.","""Heroes de cubierta inferior"", una serie de HEGCOM",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Analisis de objetivos,70,4,0,,Una mente humana asistida por maquinas es capaz de intuir soluciones eficaces a pesar de los datos de sensores conflictivos y las directivas tacticas contradictorias. El ordenador de tiro por si solo nunca podra reemplazar verdaderamente a un guerrero.,"""Sobre el combate espacial, ed. XXII"", de la biblioteca del Grupo de Combate XIV del Dominio ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Maestria balistica,80,4,0,,"Que detuvo la trama de Tri-Tachyon? (Canones!)
Que fue lo que el viejo Ludd olvido? (Canones!)
Que tenemos nosotros que ellos no? (Canones, grandes, grandes!)",Cancion de taberna de la armada de la Hegemonia,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
systems_expertise,Experto en sistemas,90,5,4,2,"No, no creo que sea una contradiccion. Es, eh, un viaje espiritual. Te ponen a prueba. Y es como dicen: el diablo esta en los detalles.","Holodoc ""Los soldados de Ludd"", entrevista con un ingeniero sendista",TRUE,,,,graphics/icons/skills/systems_expertise.png,
missile_specialization,Especializacion en misiles,100,5,4,2,Mis colegas no aprecian su capricho. Consigues todas estas pequenas naves para romper todas las reglas porque no hace falta sobrevivir al aterrizaje.,"Entrevista de salida de K. Astraia, antigua disenadora de armamento, Culann Starforge",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,Ejercicios tacticos,500,1,0,,"Perfecto.
Ahora hazlo otra vez.","Cameron Fourth-Phobos, campo de tiro de Coatl",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,Maniobras coordinadas,520,2,0,,"Senor, enemigos aproximandose a gran velocidad. Grandes. Dos... no, tres. Mas... hay demasiados! Lectura de alta energia. Contacto en seis.","Archivo de audio del CIC de la HSS Ceraon, recuperado el 189.09.13",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
wolfpack_tactics,Tacticas de manada,530,2,0,,"Una flota que actua con una sola mente convierte esas formaciones tan queridas por los oficiales de escritorio en una bestia que se revuelca, suplicando que le corten el cuello. Soltemos a los sabuesos para que podamos volver a ser lobos.","Senor de la guerra Kanta, citado en ""Mi ano con la reina pirata""",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,Entrenamiento de tripulacion,540,2,0,,"Conozco tu tipo. Firmaste el contrato con la mugre aun en las botas, todo listo para hacerte de espacial. Has visto demasiados holos de propaganda de la Hegemonia, verdad? Quedate con esto: el valor no es competencia. Intentar jugar al heroe hara que nos maten a todos. Un trabajo cuidadoso y atento es lo que saca el trabajo adelante.","Chaiya Mimas, division de la flota de Tri-Tachyon, introduccion al entrenamiento laboral",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,Enlace de cazas,545,3,0,,"Los pilotos de cazas se crean leyendas a su alrededor, pero no son mas que la punta de una lanza que solo yo comando.","Comodoro Jensulte de la Armada de la Hegemonia, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,Grupo de portaaviones,550,3,0,,"Las estadisticas nos dicen que seran evaporados por una cortina de fragmentacion antes de cumplir media docena de misiones, pero aun asi queremos tenerlos. Una vez que estan en la cabina, son los unicos de todos nosotros que tienen el control de su propio destino.","Proyecto de entrevistas de Nachiketa Portside, Ep. 4",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,Entrenamiento de oficiales,560,4,3,,"Puede que sean una ""banda desorganizada de mercaderes, contrabandistas y piratas"", pero si les das algo por lo que luchar, creo que podrian sorprenderte.","Navarca Nurul Park, comentario sobre la integracion de la armada de Cibola",,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,Gestion de oficiales,570,4,3,,"El panorama era sombrio, asi que prometi a los capitanes mercenarios el doble de bonificacion de combate. Con todas las bajas, solo tuve que pagarles a la mitad. Salio bien.","Carson Kang, gerente general de la division de flota de Valhalla, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,Lo mejor de lo mejor,580,5,4,2,"Lo que tenemos, Artemisia, es algo que no se puede comprar.",Orcus Rao en las negociaciones que pusieron fin a la Segunda Guerra de la IA (apocrifo),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,Doctrina de apoyo,590,5,4,2,"No todos los cadetes tienen talento, habilidad o incluso dos neuronas con las que pensar, pero, por el demonio y la radiacion, se graduaran con disciplina.","Comentario sin autor de personal de la Academia de Coatl, archivos de COMSEC",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,Concentracion de fuerzas,590,5,4,2,"Cuando consiga la victoria en el momento y el lugar que yo elija, la historia me absolvera del sacrificio de un planeta o dos.","Almirante de flota Andrada, discurso ante la Asamblea Estrategica de la Hegemonia ",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
navigation,Navegacion,1000,1,0,0,Pasa suficiente tiempo aqui fuera y se vuelve algo natural. Es como me muevo cuando sueno. No todos lo conseguimos. Muchos no.,"Proyecto de entrevistas de Nachiketa Portside, Ep. 2",,,,,graphics/icons/skills/navigation.png,
