name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Escudos acelerados,advancedshieldemitter,0,,,"defensive, shields, merc, standard",Shields,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,Aumenta la velocidad de giro de los escudos de la nave un %s y la velocidad de activacion de los escudos un %s.,Aumenta la velocidad de giro del escudo y la velocidad de extension.,Aumenta la velocidad de rotacion y de elevacion del escudo un %s adicional.,graphics/hullmods/accelerated_shields.png
Bobinas de fase adaptativas,adaptive_coils,2,,,"phase, merc, standard",Phase,5000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"Las bobinas de fase son menos capaces de mantener la conexion con el espacio normal a medida que aumentan los niveles de flujo duro de la nave, lo que resulta en una velocidad maxima muy reducida mientras las bobinas luchan por ganar traccion.

Esta modificacion permite que las bobinas soporten niveles mas altos de flujo duro, aumentando el umbral en el que la velocidad cae al minimo en un %s. Para bobinas de diseno estandar sin otras modificaciones, esto eleva el umbral de %s a %s.",Reduce el impacto del nivel de flujo duro en la velocidad maxima mientras se esta en fase.,,graphics/hullmods/phase_field.png
Optica avanzada,advancedoptics,2,,,"offensive, merc, standard",Weapons,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"Amplia el alcance de las armas de rayo un %s, pero reduce su velocidad de giro un %s. Acumulable con la unidad de fijacion de blancos integrada.",Aumenta el alcance de las armas de rayo.,,graphics/hullmods/advanced_optics.png
Giroscopios de torreta avanzados,turretgyros,0,,,"defensive, merc, standard",Weapons,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,Aumenta la velocidad de giro de todas las torretas un %s.,Aumenta la velocidad de giro de las torretas.,Aumenta el dano a misiles y cazas un %s. Aumenta el dano a naves de menor tamano un %s por cada clase de tamano de diferencia.,graphics/hullmods/advanced_turret_gyros.png
Monturas de armas blindadas,armoredweapons,0,,,"defensive, merc, standard","Weapons, Defenses",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,"Aumenta la durabilidad de todas las armas un %s y reduce el retroceso un %s, pero disminuye la velocidad de giro de las armas un %s. Tambien aumenta el blindaje de la nave un %s.",Hace que las armas sean mas dificiles de desactivar; reduce el retroceso.,Aumenta la cadencia de tiro de todas las armas que no sean de misiles un %s.,graphics/hullmods/armored_weapon_emplacements.png
Paquete de asalto,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage, hide_in_codex","Special, Defenses",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"Aumenta la integridad del casco de la nave un %s, el blindaje un %s y la capacidad de flujo un %s.

Intentara entablar combate con los enemigos y actuar como una nave de combate en batalla.","Aumenta la integridad del casco, el blindaje y la capacidad de flujo.",,graphics/hullmods/assault_package.png
Unidad de reparacion automatizada,autorepair,2,,,"engines, defensive, merc, standard",Defenses,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,Reduce el tiempo necesario para reparar armas y motores inhabilitados (en combate) un %s.,Aumenta la tasa de reparacion de armas en combate.,Reduce el tiempo de reparacion a %s y la duracion de la sobrecarga en un %s.,graphics/hullmods/automated_repair_unit.png
Propulsores auxiliares,auxiliarythrusters,1,,,"engines, merc, standard",Engines,5000,TRUE,,,4,8,12,20,data.hullmods.AuxiliaryThrusters,Aumenta la maniobrabilidad de la nave un %s.,Aumenta la maniobrabilidad.,Aumenta la aceleracion de velocidad con 0 de flujo un %s y aumenta el bono de rotacion con 0 de flujo un %s.,graphics/hullmods/auxilliary_thrusters.png
Telemetro balistico,ballistic_rangefinder,2,,,"offensive, merc, standard",Weapons,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,<tooltip creado en el script debido al gran numero de resaltados>,Aumenta el alcance base de las armas pequenas y medianas en ranuras balisticas.,,graphics/hullmods/ballistic_rangefinder.png
Compuertas blindadas,blast_doors,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,4,8,12,20,data.hullmods.BlastDoors,"Instala puertas hermeticas y fuertemente reforzadas en puntos criticos de toda la nave. Aumenta la integridad del casco un %s.

La nave sufre un %s menos de bajas de tripulacion por danos en el casco sufridos en combate.",Aumenta la integridad del casco; reduce las bajas de la tripulacion.,Aumenta la reduccion de bajas de la tripulacion al %s.,graphics/hullmods/blast_doors.png
