name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Lanzador de bengalas,flarelauncher,,,,,,,,5,,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/flare_launcher.png
Flak de capsula,canister_flak,,,,,,,,2,0.05,,,,3,,,,,,,,,,,,defensive,graphics/icons/hullsys/canister_flak.png
Lanzador de bengalas de senuelo,flarelauncher_fighter,,,,,,,,1,0.033,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/decoy_flare.png
Lanzador de bengalas de senuelo (unico),flarelauncher_single,,,,,,,,1,0.033,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/flare_launcher.png
Lanzador de bengalas activo,flarelauncher_active,,,,,,0.1,,,,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/active_flare_launcher.png
Propulsion de combustion,burndrive,1,,,,,,,,,2,5,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,movement,graphics/icons/hullsys/burn_drive.png
Propulsion de combate,combat_burn,1,,,,,,,,,1,,1,0,TRUE,,,,,,TRUE,TRUE,TRUE,,,movement,graphics/icons/hullsys/combat_burn.png
Propulsion de plasma,microburn,1,,,,,,,2,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,movement,graphics/icons/hullsys/plasma_burn.png
Micropropulsion,microburn_omega,1,,,,,,,3,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,"restricted, movement",graphics/icons/hullsys/burn_drive.png
Propulsores de maniobra,maneuveringjets,,,,,,,,,,1,5,1,5,,,,,,,,,,,,movement,graphics/icons/hullsys/maneuvering_jets.png
Estabilizador dinamico,dynamic_stabilizer,,,,,,,,,,1,5,1,5,,,,,,,,,,,,movement,graphics/icons/hullsys/maneuvering_jets.png
Inyector de infernum,inferniuminjector,1,,,,,,,,,1,,1,1,TRUE,,,,,,,TRUE,,,,movement,graphics/icons/hullsys/infernium_injector.png
Lanzamisiles rapidos,fastmissileracks,,,,,,0.25,,3,0.1,1,0,0,0,,,,,,,,,,,,offensive,graphics/icons/hullsys/missile_racks.png
Escudo de fortaleza,fortressshield,,,0.025,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,defensive,graphics/icons/hullsys/fortress_shield.png
Enfoque de alta energia,highenergyfocus,1,,,,,,,3,0.05,0.25,3,0.25,,,,,,,,,,,,,offensive,graphics/icons/hullsys/high_energy_focus.png
Teletransportador de fase,phaseteleporter,,,,,,,,,,0.5,0,0.5,15,,,,TRUE,,,,,,,,movement,graphics/icons/hullsys/teleport.png
Desplazador de fase,displacer,,,,,,,,3,0.1,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,movement,graphics/icons/hullsys/displacer.png
Drones de defensa de punto,drone_pd,,,,,,,,20,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Drones de defensa de punto,drone_pd_x2,,,,,,,,10,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Drones barrenadores,drone_borer,,,,,,,,15,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_borer.png
Drones de sensores,drone_sensor,,,,,,,,5,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Dron exterminador,drone_terminator,,,,,,,,1,0.0333,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/termination_sequence.png
